ax,ay,rollFiltered,pitchFiltered
21.23,21.23,8.27,8.27
-20.98,50.69,-20.98,50.69
4.38,18.66,4.38,18.66
-4.38,-4.38,-2.12,-2.12
-18.66,-18.66,2.89,2.89
23.54,-55.17,23.54,-55.17
19.36,-39.05,19.36,-39.05
-19.36,-19.36,-5.57,-5.57
39.05,39.05,10.12,10.12
-38.95,22.88,-38.95,22.88
4.03,-17.64,4.03,-17.64
-4.03,-4.03,-5.26,-5.26
17.64,17.64,11.62,11.62
1.73,-63.55,1.73,-63.55
-34.63,26.11,-34.63,26.11
34.63,34.63,2.72,2.72
-26.11,-26.11,4.08,4.08
-1.94,-21.49,-1.94,-21.49
11.69,-38.58,11.69,-38.58
-11.69,-11.69,-0.16,-0.16
38.58,38.58,10.98,10.98
23.55,4.49,23.55,4.49
-23.47,-23.47,-8.21,-8.21
22.37,-63.16,22.37,-63.16
